NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
Haaviston Seuratalo;Kuninkaantie 847;47450;Perheniemi;Iitti;08.06.2018;Ennakkoon hyväksytty anniskelualue;1536163-4
Hailuodon nuorisoseurantalo;Luovontie 280;90480;Hailuoto;Hailuoto;19.08.2020;Ennakkoon hyväksytty anniskelualue;0413298-3
Hakasalmen huvila;Mannerheimintie 13 b;00100;Helsinki;Helsinki;01.04.2020;Ennakkoon hyväksytty anniskelualue;0201256-6
Hankasalmen torialue;Riukulantie;41520;Hankasalmi;Hankasalmi;21.09.2019;Ennakkoon hyväksytty anniskelualue;0174035-0
Harjula;Vesijaonraitti 143;17630;Vesijako;Padasjoki;14.06.2019;Ennakkoon hyväksytty anniskelualue;1035352-0
Harjun stadionin anniskelualueet;Ihantolantie 1;40720;Jyväskylä;Jyväskylä;15.06.2018;Ennakkoon hyväksytty anniskelualue;0174666-4
Heimolinna;Väinämöisenkatu 2;32200;Loimaa;Loimaa;09.09.2019;Ennakkoon hyväksytty anniskelualue;1927453-8
Heinolan kesäteatteri;Kymenkartanonkatu 2;18100;Heinola;Heinola;30.07.2018;Ennakkoon hyväksytty anniskelualue;1068892-9
Helsingin kaupunginmuseo;Aleksanterinkatu 16-18;00170;Helsinki;Helsinki;19.05.2020;Ennakkoon hyväksytty anniskelualue;0201256-6
Hermanonkimaa-Levelä;Onkimaantie 415;04660;Numminen;Mäntsälä;08.09.2018;Ennakkoon hyväksytty anniskelualue;N/A
Hevosopisto (hyv. anniskelualue);Opistontie 9;32100;Ypäjä;Ypäjä;20.02.2019;Ennakkoon hyväksytty anniskelualue;0934732-6
Hiekkasärkät Areena;Noste 28;85100;Kalajoki;Kalajoki;09.03.2020;Ennakkoon hyväksytty anniskelualue;2347025-9
Hippoksen liikuntakeskuksen anniske;Kuntoportti 3;40700;Jyväskylä;Jyväskylä;16.07.2018;Ennakkoon hyväksytty anniskelualue;0174666-4
Hollolan tori;Virastotie 3;15870;Hollola;Hollola;05.02.2019;Ennakkoon hyväksytty anniskelualue;0146248-5
Honkalan Olutkellari;Honkalantie 4;36720;Aitoo;Pälkäne;27.03.2019;Ennakkoon hyväksytty anniskelualue;1450745-1
Honkalan urheilukeskus;Yhdyskatu 2;29200;Harjavalta;Harjavalta;13.06.2019;Ennakkoon hyväksytty anniskelualue;0132585-1
Huittisten Seurahuone piha-alue;Lauttakyläntie 14;32700;Huittinen;Huittinen;10.07.2019;Ennakkoon hyväksytty anniskelualue;2690815-6
Hupisaaren teatterin alue;Hupisaaret;90130;Oulu;Oulu;09.01.2019;Ennakkoon hyväksytty anniskelualue;0187690-1
Huvilava Honkahovi;Nuutinrinteentie 80;17800;Kuhmoinen;Kuhmoinen;01.06.2019;Ennakkoon hyväksytty anniskelualue;0899309-4
Hyvinkään kauppatori;Kauppatori 1;05800;Hyvinkää;Hyvinkää;26.06.2020;Ennakkoon hyväksytty anniskelualue;0125866-0
Hämeen Linna Museovirasto;Kustaa III katu;13100;Hämeenlinna;Hämeenlinna;04.12.2019;Ennakkoon hyväksytty anniskelualue;0292559-2
Hämeenlinnan tori;Kauppatori;13100;Hämeenlinna;Hämeenlinna;20.11.2018;Ennakkoon hyväksytty anniskelualue;1812988-1
Hämes-Havunen;Koskenkyläntie 312;61800;Kauhajoki;Kauhajoki;29.08.2018;Ennakkoon hyväksytty anniskelualue;0178718-3
Härkmeri Paviljong;Solaxvägen 5;64460;Härkmeri;Kristiinankaupunki;23.07.2019;Ennakkoon hyväksytty anniskelualue;0904221-5
Härkmeri Ungdomslokal;Lokalvägen 20;64460;Härkmeri;Kristiinankaupunki;12.11.2019;Ennakkoon hyväksytty anniskelualue;0904221-5
Häyrylänranta, Konneveden satama;Satamatie 60;44300;Konnevesi;Konnevesi;29.08.2020;Ennakkoon hyväksytty anniskelualue;2861995-6
Ideal keittiöt Seinäjoki piha-alue;Tuottajantie 26 E;60100;Seinäjoki;Seinäjoki;18.07.2019;Ennakkoon hyväksytty anniskelualue;N/A
