NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
Pub Pilvenhattara;Tuusantie 3;3100;Nummela;Vihti;12.04.2011;Anniskelu A, kaikki alkoholijuomat;0969564-6
Pub Pireus;Kauppiaskatu 2;21600;Parainen;PARAINEN;02.07.2020;Anniskelu A, kaikki alkoholijuomat;3128345-3
Pub Porthan;Porthaninkatu 10;530;Helsinki;Helsinki;01.09.2009;Anniskelu A, kaikki alkoholijuomat;N/A
Pub Posse;Multisillankatu 2;33850;Tampere;Tampere;20.11.2010;Anniskelu A, kaikki alkoholijuomat;N/A
Pub Pressapari;Wallininkatu 10;530;Helsinki;Helsinki;21.11.2000;Anniskelu A, kaikki alkoholijuomat;1626985-6
Pub Punapippuri;Viirinkankankaantie 9;96300;Rovaniemi;Rovaniemi;01.03.2012;Anniskelu A, kaikki alkoholijuomat;2458930-7
Pub Puute;Jussilantie 2;91500;Muhos;Muhos;05.12.2018;Anniskelu A, kaikki alkoholijuomat;2950825-4
Pub Pöllö;Kauppakatu 5;62900;Alajärvi;Alajärvi;26.10.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Pub Ramona;Patteristontie 2;80400;Ylämylly;Liperi;29.04.1988;Anniskelu A, kaikki alkoholijuomat;0973566-0
Pub Ravintola Jesperi;Kasperinviita 15;60150;Seinäjoki;Seinäjoki;29.08.1988;Anniskelu A, kaikki alkoholijuomat;0697884-3
Pub Saunalamppu;Tallikatu 7;76100;Pieksämäki;Pieksämäki;04.12.2017;Anniskelu A, kaikki alkoholijuomat;0992388-0
Pub Seitsemän Veljestä;Aleksis Kiven katu 80;520;Helsinki;Helsinki;11.02.2019;Ann.lupa sis. vähittäismyynnin;N/A
Pub Simon;Hämeenkatu 26;33200;Tampere;Tampere;04.05.2018;Ann.lupa sis. vähittäismyynnin;2422641-8
